Rowname,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-17.579094890510877,6.758440169379233,-2.601058003022246,0.01231881615380909
speed,3.9324087591240846,0.41551277665712216,9.463989990298366,1.4898364962950983e-12
